node_id,arc_length_position_mm,node_error_mm
0,0,0.90390081
1,2.5,1.6576967
2,5,2.3219736
3,7.5,2.8308196
4,10,3.1108709
5,12.5,3.4925859
6,15,3.577799
7,17.5,3.24258
8,20,3.3756627
9,22.5,3.3673097
10,25,3.3419833
11,27.5,4.3018757
12,30,4.9521487
13,32.5,4.4099688
14,35,4.0049172
15,37.5,4.2090678
16,40,4.0795528
17,42.5,3.2010855
18,45,2.3025146
19,47.5,1.7186306
20,50,1.1172376
