step,s1_m,Fx1_uN,Fy1_uN,F1_uN,s2_m,Fx2_uN,Fy2_uN,F2_uN,s3_m,Fx3_uN,Fy3_uN,F3_uN,s4_m,Fx4_uN,Fy4_uN,F4_uN,s5_m,Fx5_uN,Fy5_uN,F5_uN,s6_m,Fx6_uN,Fy6_uN,F6_uN,s7_m,Fx7_uN,Fy7_uN,F7_uN
20,0,0,5.2765624,5.2765624,0.0075,-5.4494874,23.267917,23.897549,0.015,-5.9093174,14.483151,15.642305,0.02,-9.3213945,26.177779,27.787848,0.03,-18.561967,4.7701095,19.165087,0.04,-18.535224,21.172719,28.139626,0.05,-1.0004014,5.3250897,5.4182454
21,0,0,5.2897677,5.2897677,0.0075,-5.3927383,22.966133,23.59078,0.015,-6.2127142,15.18736,16.408953,0.02,-9.2228838,25.834199,27.431139,0.03,-19.959354,5.1158068,20.604546,0.04,-18.365711,20.924883,27.841517,0.05,-1.2679221,6.2371748,6.3647447
22,0,0,5.3028826,5.3028826,0.0075,-5.7067597,24.236947,24.899733,0.015,-5.5824527,13.609269,14.709724,0.02,-9.7583113,27.259161,28.953178,0.03,-19.371964,4.9515585,19.994773,0.04,-18.670434,21.213818,28.25971,0.05,-1.72768,7.8782184,8.0654326
23,0,0,5.3159032,5.3159032,0.0075,-5.627018,23.829275,24.484642,0.015,-6.0102518,14.609865,15.797825,0.02,-9.6202559,26.795911,28.470514,0.03,-19.219811,4.8984347,19.834208,0.04,-19.346281,21.918201,29.235015,0.05,-1.6411963,6.9570842,7.1480449
24,0,0,5.3288254,5.3288254,0.0075,-5.6603025,23.897478,24.558674,0.015,-6.1874071,14.994859,16.221277,0.02,-9.6753514,26.86758,28.556598,0.03,-17.948863,4.5606481,18.519211,0.04,-19.632742,22.175148,29.617255,0.05,-1.8759046,7.4118659,7.6455722
25,0,0,5.3416452,5.3416452,0.0075,-5.2979919,22.296702,22.917496,0.015,-5.9212188,14.304173,15.481285,0.02,-9.0542553,25.062916,26.648251,0.03,-21.667668,5.4881613,22.351907,0.04,-18.454054,20.777432,27.789455,0.05,-2.3178938,8.557208,8.8655761
26,0,0,5.3543585,5.3543585,0.0075,-5.4926588,23.03919,23.684881,0.015,-5.5834513,13.443474,14.556851,0.02,-9.3849934,25.892167,27.540559,0.03,-20.370833,5.1427379,21.009964,0.04,-17.629155,19.782618,26.497907,0.05,-2.3005254,7.9540798,8.2800847
27,0,0,5.3669615,5.3669615,0.0075,-5.4924002,22.958404,23.606244,0.015,-5.9023383,14.162196,15.342927,0.02,-9.3825093,25.79579,27.449121,0.03,-19.509215,4.9084506,20.117215,0.04,-18.235689,20.392271,27.356627,0.05,-1.776927,5.766294,6.0338724
28,0,0,5.3794501,5.3794501,0.0075,-5.6101341,23.366233,24.030282,0.015,-5.7161073,13.666165,14.813438,0.02,-9.5814476,26.248081,27.942188,0.03,-20.294699,5.0881127,20.922803,0.04,-17.476179,19.472481,26.164754,0.05,-2.1996679,6.7132302,7.0644178
29,0,0,5.3918206,5.3918206,0.0075,-5.5163352,22.889928,23.545249,0.015,-6.2916842,14.98637,16.25351,0.02,-9.4190083,25.706962,27.378196,0.03,-20.814922,5.199615,21.454533,0.04,-18.114426,20.10816,27.064193,0.05,-2.4823858,7.1387463,7.558038
30,0,0,5.404069,5.404069,0.0075,-5.624645,23.249356,23.920058,0.015,-6.2429374,14.813126,16.074918,0.02,-9.6015617,26.10421,27.814021,0.03,-20.069007,4.9945895,20.681174,0.04,-18.742802,20.725169,27.94325,0.05,-2.0137609,5.4666647,5.8257751
31,0,0,5.4161916,5.4161916,0.0075,-5.4628807,22.490787,23.14473,0.015,-6.3611175,15.033696,16.324087,0.02,-9.3230133,25.246046,26.912477,0.03,-19.534636,4.8429999,20.126019,0.04,-17.433246,19.200028,25.933746,0.05,-2.8842243,7.4036461,7.9456104
32,0,0,5.4281845,5.4281845,0.0075,-5.9761232,24.50282,25.221067,0.015,-6.1158059,14.394894,15.640206,0.02,-10.196182,27.497279,29.326822,0.03,-18.29334,4.517494,18.842878,0.04,-17.985156,19.726197,26.694357,0.05,-2.3993857,5.8333659,6.3075518
33,0,0,5.440044,5.440044,0.0075,-5.5514472,22.66544,23.335397,0.015,-5.940344,13.923171,15.137449,0.02,-9.4689818,25.428375,27.134182,0.03,-20.065935,4.9353977,20.663976,0.04,-18.296369,19.982349,27.093382,0.05,-3.0852458,7.1150077,7.7551322
34,0,0,5.4517665,5.4517665,0.0075,-6.2109649,25.24804,26.000761,0.015,-5.6899852,13.278844,14.446578,0.02,-10.59085,28.317751,30.233443,0.03,-19.312338,4.7306533,19.883296,0.04,-19.151706,20.825229,28.29272,0.05,-3.0046195,6.5822117,7.2355545
35,0,0,5.4633482,5.4633482,0.0075,-5.519202,22.336037,23.007828,0.015,-6.7058963,15.580479,16.962322,0.02,-9.4084551,25.044349,26.753288,0.03,-18.278381,4.4587743,18.814353,0.04,-18.175613,19.675316,26.785648,0.05,-2.4698802,5.1470021,5.708935
36,0,0,5.4747856,5.4747856,0.0075,-5.4556474,21.97806,22.64507,0.015,-5.9663408,13.799413,15.033996,0.02,-9.2972445,24.635501,26.331477,0.03,-19.292449,4.6862695,19.853456,0.04,-20.182317,21.747283,29.669349,0.05,-1.7996943,3.5722682,4
37,0,0,5.4860751,5.4860751,0.0075,-5.557798,22.284989,22.967582,0.015,-6.5256194,15.023052,16.379127,0.02,-9.4683063,24.971741,26.706491,0.03,-19.355311,4.6813975,19.913401,0.04,-17.86226,19.15685,26.192465,0.05,-2.9033641,5.4961428,6.2158755
38,0,0,5.4972132,5.4972132,0.0075,-5.6350062,22.486685,23.181982,0.015,-6.1640633,14.123557,15.410079,0.02,-9.5966839,25.18965,26.955793,0.03,-18.008916,4.336851,18.523751,0.04,-18.821118,20.088179,27.527612,0.05,-3.5783273,6.4679653,7.3918199
39,0,0,5.5081965,5.5081965,0.0075,-5.8635619,23.284669,24.011605,0.015,-5.9947834,13.669394,14.926144,0.02,-9.982544,26.074922,27.920471,0.03,-19.571901,4.6925651,20.126586,0.04,-20.255851,21.51336,29.548674,0.05,-4.8638809,8.4042493,9.7102391
40,0,0,5.5190214,5.5190214,0.0075,-5.7540382,22.736121,23.452935,0.015,-6.3060209,14.308353,15.636332,0.02,-9.792669,25.451977,27.270854,0.03,-18.985171,4.5317278,19.518537,0.04,-19.196887,20.286528,27.92962,0.05,-3.2396714,5.3569993,6.2604243
41,0,0,5.5296847,5.5296847,0.0075,-5.8896053,23.153882,23.891206,0.015,-6.4182903,14.490163,15.848006,0.02,-10.019795,25.910583,27.780472,0.03,-19.002492,4.5156086,19.531652,0.04,-18.513191,19.464144,26.862449,0.05,-3.88127,6.1483117,7.2709005
42,0,0,5.5401829,5.5401829,0.0075,-5.6167709,21.9674,22.674099,0.015,-6.3761818,14.321778,15.677022,0.02,-9.5521122,24.574023,26.365232,0.03,-19.674955,4.6543941,20.217993,0.04,-18.236309,19.073372,26.388567,0.05,-3.7720334,5.7300389,6.8601445
43,0,0,5.5505129,5.5505129,0.0075,-6.0333346,23.472827,24.235815,0.015,-6.4301659,14.368283,15.741493,0.02,-10.256659,26.248426,28.18118,0.03,-19.49031,4.5898866,20.023467,0.04,-19.050604,19.819678,27.490819,0.05,-4.0704181,5.9353022,7.1969518
44,0,0,5.5606715,5.5606715,0.0075,-6.0483338,23.405766,24.174619,0.015,-6.2808362,13.960863,15.308645,0.02,-10.278171,26.163573,28.110022,0.03,-18.61496,4.3638728,19.119626,0.04,-19.654204,20.337744,28.282708,0.05,-4.5685061,6.4003813,7.8635951
45,0,0,5.5706553,5.5706553,0.0075,-5.6233802,21.643533,22.362131,0.015,-6.6147872,14.624798,16.051172,0.02,-9.5522321,24.184369,26.002478,0.03,-20.019931,4.6719175,20.557832,0.04,-19.715985,20.29032,28.291645,0.05,-4.8153693,6.4875463,8.0793588
46,0,0,5.5804615,5.5804615,0.0075,-6.2528455,23.93414,24.737444,0.015,-6.4187408,14.114699,15.505643,0.02,-10.617158,26.733325,28.76447,0.03,-19.999531,4.6459413,20.532072,0.04,-19.741767,20.204337,28.248055,0.05,-3.6462497,4.7281826,5.970833
47,0,0,5.5900868,5.5900868,0.0075,-6.1798574,23.523138,24.321362,0.015,-6.8026106,14.876995,16.358499,0.02,-10.488854,26.26365,28.280654,0.03,-18.330435,4.2388653,18.814166,0.04,-20.417437,20.778512,29.131054,0.05,-4.7879119,5.9807538,7.6611694
