step,s1_m,Fx1_uN,Fy1_uN,F1_uN,s2_m,Fx2_uN,Fy2_uN,F2_uN,s3_m,Fx3_uN,Fy3_uN,F3_uN,s4_m,Fx4_uN,Fy4_uN,F4_uN,s5_m,Fx5_uN,Fy5_uN,F5_uN,s6_m,Fx6_uN,Fy6_uN,F6_uN,s7_m,Fx7_uN,Fy7_uN,F7_uN
85,0,0,5.7980072,5.7980072,0.0075,-6.0498322,23.276075,24.049451,0.015,-7.0522072,12.294204,14.173252,0.02,-10.73954,25.820037,27.964478,0.03,-19.11977,2.7351929,19.314422,0.04,-19.552129,18.403851,26.85121,0.05,-8.7648401,4.1581754,9.7011775
86,0,0,5.7988789,5.7988789,0.0075,-6.0190494,23.473561,24.232974,0.015,-7.0280861,12.183943,14.065648,0.02,-10.729943,26.054962,28.177877,0.03,-19.835241,2.5579999,19.999503,0.04,-18.774656,17.79981,25.871238,0.05,-8.8590797,4.1346356,9.776426
87,0,0,5.7995016,5.7995016,0.0075,-5.6748638,22.458354,23.164234,0.015,-7.0914646,12.226184,14.133946,0.02,-10.160995,24.945076,26.935156,0.03,-20.57414,2.3274774,20.705371,0.04,-19.73946,18.866168,27.305285,0.05,-8.1691464,3.752078,8.9896075
88,0,0,5.7998754,5.7998754,0.0075,-6.1007217,24.529058,25.276343,0.015,-7.1424349,12.247175,14.177717,0.02,-10.973787,27.265593,29.391096,0.03,-19.656614,1.8751675,19.745853,0.04,-20.965012,20.218291,29.125779,0.05,-8.8651104,4.0084778,9.7292383
89,0,0,5.8,5.8,0.0075,-5.5964909,22.888523,23.562792,0.015,-7.277168,12.411346,14.387449,0.02,-10.115035,25.463093,27.398596,0.03,-20.029564,1.5141859,20.086716,0.04,-20.338287,19.809835,28.391468,0.05,-10.926147,4.8653384,11.960443
90,0,0,5.7998754,5.7998754,0.0075,-5.6250367,23.430115,24.095878,0.015,-6.8681604,11.651927,13.525496,0.02,-10.217225,26.089127,28.018463,0.03,-20.225684,1.0826676,20.254641,0.04,-21.076446,20.754794,29.580028,0.05,-10.021355,4.396131,10.943195
91,0,0,5.7995016,5.7995016,0.0075,-6.0137382,25.544974,26.243299,0.015,-7.2067149,12.162738,14.137501,0.02,-10.979567,28.471787,30.515464,0.03,-20.819065,0.60293577,20.827794,0.04,-20.047864,19.980357,28.304267,0.05,-9.9147749,4.2861713,10.801575
92,0,0,5.7988789,5.7988789,0.0075,-5.5161526,23.927324,24.554934,0.015,-6.8156931,11.444014,13.319877,0.02,-10.12474,26.696827,28.552249,0.03,-20.802789,0.033832251,20.802817,0.04,-19.333026,19.522323,27.475207,0.05,-10.153871,4.3271513,11.037452
93,0,0,5.7980072,5.7980072,0.0075,-5.0366934,22.341164,22.901875,0.015,-6.7514695,11.279261,13.145497,0.02,-9.2954387,24.955087,26.630088,0.03,-20.133422,-0.57942469,20.141758,0.04,-20.295038,20.788554,29.052582,0.05,-8.8118392,3.703045,9.5582976
94,0,0,5.796887,5.796887,0.0075,-5.2176739,23.700952,24.268483,0.015,-6.3683155,10.586747,12.35454,0.02,-9.6837427,26.505593,28.219166,0.03,-19.024706,-1.1910925,19.061955,0.04,-20.347471,21.167934,29.361557,0.05,-12.510041,5.185711,13.542257
95,0,0,5.7955186,5.7955186,0.0075,-5.0799189,23.665801,24.20487,0.015,-6.9367649,11.476098,13.409681,0.02,-9.4825422,26.499689,28.145197,0.03,-19.319663,-1.9370811,19.416531,0.04,-20.509849,21.698041,29.857308,0.05,-8.5430545,3.4942341,9.2300299
96,0,0,5.7939023,5.7939023,0.0075,-4.9652134,23.759968,24.273225,0.015,-7.1100528,11.707259,13.697181,0.02,-9.3231186,26.640421,28.22468,0.03,-17.939326,-2.5513273,18.119843,0.04,-19.275444,20.765155,28.332568,0.05,-10.886681,4.3949372,11.740328
97,0,0,5.7920388,5.7920388,0.0075,-4.3549625,21.440005,21.877832,0.015,-6.374113,10.447089,12.238096,0.02,-8.2263974,24.072523,25.439339,0.03,-18.551387,-3.5065283,18.879875,0.04,-19.41337,21.32624,28.838992,0.05,-10.289794,4.1011747,11.07698
98,0,0.0013093599,5.7899284,5.7899286,0.0075,-4.5158807,22.910027,23.350857,0.015,-6.3329179,10.332915,12.119199,0.02,-8.5823992,25.760089,27.152159,0.03,-16.890752,-4.0755613,17.375491,0.04,-19.580814,21.966683,29.426917,0.05,-8.6299759,3.3968683,9.2744379
99,0,0.15755959,5.7854272,5.7875723,0.0075,-4.7606198,24.929909,25.380384,0.015,-6.0411612,9.8137627,11.52413,0.02,-9.1033534,28.072967,29.512074,0.03,-16.219201,-4.8621273,16.9323,0.04,-17.371403,19.932212,26.439719,0.05,-9.8291662,3.8218487,10.546044
100,0,0.57147794,5.7566742,5.7849706,0.0075,-4.4492583,24.091927,24.499323,0.015,-6.2122757,10.048869,11.814065,0.02,-8.5608873,27.170824,28.487585,0.03,-16.116685,-5.8881023,17.158593,0.04,-17.642066,20.737333,27.226448,0.05,-10.676888,4.1021019,11.437796
101,0,1.2284493,5.6501218,5.7821245,0.0075,-4.2386059,23.774295,24.14918,0.015,-6.12184,9.86183,11.607438,0.02,-8.2065265,26.854499,28.080441,0.03,-14.785279,-6.4908216,16.147298,0.04,-17.437679,21.032996,27.321412,0.05,-9.8473792,3.7393979,10.533469
102,0,2.0722668,5.3947153,5.7790347,0.0075,-4.2871781,24.954693,25.320281,0.015,-6.5427487,10.49797,12.369921,0.02,-8.3524667,28.232581,29.442187,0.03,-14.423493,-7.5286313,16.270139,0.04,-19.288898,23.915851,30.725064,0.05,-9.4412651,3.5443941,10.084653
103,0,2.983832,4.9452486,5.7757023,0.0075,-4.2117541,25.489229,25.834854,0.015,-6.8203187,10.90141,12.85914,0.02,-8.2566548,28.883576,30.040528,0.03,-11.732363,-7.2231886,13.777619,0.04,-16.547703,21.128593,26.837361,0.05,-11.156168,4.1415827,11.900117
104,0,3.8154718,4.33124,5.7721283,0.0075,-3.8459613,24.246559,24.549685,0.015,-6.063144,9.6555074,11.401339,0.02,-7.5861923,27.519667,28.546145,0.03,-12.814006,-9.2490367,15.803273,0.04,-16.872935,22.227907,27.906554,0.05,-11.60355,4.2607656,12.361088
105,0,4.468124,3.6481928,5.7683137,0.0075,-3.7664184,24.784807,25.069355,0.015,-5.6464722,8.9603112,10.591026,0.02,-7.4747022,28.175795,29.150413,0.03,-11.383821,-9.5897255,14.884698,0.04,-15.940876,21.709433,26.933455,0.05,-10.902656,3.9607532,11.599805
106,0,4.9261362,2.9933047,5.7642598,0.0075,-3.4583715,23.802509,24.052438,0.015,-5.381457,8.5111303,10.069728,0.02,-6.9046306,27.102257,27.967951,0.03,-11.016939,-10.796163,15.424983,0.04,-16.902135,23.844753,29.227631,0.05,-10.352565,3.7217117,11.001215
107,0,5.2263484,2.4212624,5.7599678,0.0075,-3.3878141,24.438212,24.671917,0.015,-5.8370492,9.2023443,10.897444,0.02,-6.8035788,27.869849,28.688276,0.03,-10.492833,-11.935375,15.891907,0.04,-15.558372,22.785095,27.590279,0.05,-10.265736,3.6528529,10.896269
108,0,5.416429,1.9461183,5.7554392,0.0075,-3.2896879,24.924745,25.140902,0.015,-5.4710997,8.5995858,10.192439,0.02,-6.6443992,28.468505,29.233607,0.03,-8.8690789,-11.695074,14.677715,0.04,-15.668201,23.872403,28.554932,0.05,-9.6327656,3.3934064,10.213001
109,0,5.5349625,1.560274,5.7506752,0.0075,-3.2552907,25.962271,26.165558,0.015,-5.5680847,8.7275125,10.352441,0.02,-6.6114529,29.698037,30.425067,0.03,-8.4603545,-12.927162,15.449567,0.04,-16.051128,25.501327,30.132315,0.05,-11.676529,4.0731882,12.366576
110,0,5.6082841,1.2489827,5.7456773,0.0075,-2.8367686,23.868676,24.036658,0.015,-5.8012962,9.0694215,10.766125,0.02,-5.7922754,27.342821,27.949603,0.03,-7.536883,-13.348837,15.329581,0.04,-14.267398,23.692327,27.656554,0.05,-8.5583002,2.9568863,9.0547048
111,0,5.6531491,0.99731631,5.7404473,0.0075,-2.5744296,22.905326,23.049547,0.015,-5.7001105,8.8807875,10.552708,0.02,-5.2835541,26.275854,26.801799,0.03,-6.5067359,-13.37285,14.87181,0.04,-13.821266,24.047965,27.736835,0.05,-10.935749,3.7429182,11.558548
112,0,5.6799578,0.79255884,5.7349865,0.0075,-2.2706265,21.413,21.533052,0.015,-5.0950296,7.8745946,9.3791559,0.02,-4.6827662,24.596642,25.038433,0.03,-5.7508396,-13.740305,14.895239,0.04,-14.356206,26.238354,29.90906,0.05,-9.439064,3.2010427,9.967076
113,0,5.6951494,0.62459198,5.7292968,0.0075,-2.3006947,23.052588,23.16711,0.015,-5.5119801,8.4065302,10.052446,0.02,-4.7666141,26.513434,26.9385,0.03,-5.3903436,-15.011078,15.949554,0.04,-13.223089,25.452654,28.682533,0.05,-12.648051,4.2508,13.343256
114,0,5.7027436,0.48558636,5.72338,0.0075,-2.2362718,23.866863,23.971401,0.015,-4.9560399,7.4158038,8.9194438,0.02,-4.6531163,27.482592,27.873722,0.03,-4.7203459,-15.373549,16.081905,0.04,-12.800639,26.02021,28.998408,0.05,-10.608106,3.5338749,11.181242
115,0,5.7052825,0.36954019,5.7172378,0.0075,-2.0312808,23.15061,23.239554,0.015,-5.1265873,7.4769373,9.0656764,0.02,-4.4127352,27.751814,28.100452,0.03,-4.1227863,-15.770594,16.300583,0.04,-11.395995,24.531631,27.049392,0.05,-10.359327,3.4212974,10.909672
116,0,5.7043981,0.27185276,5.7108722,0.0075,-1.9879849,24.25893,24.34025,0.015,-6.1118395,8.6225668,10.568975,0.02,-4.1683189,27.993985,28.302616,0.03,-3.4511372,-15.586464,15.963965,0.04,-10.800676,24.693222,26.951991,0.05,-10.20208,3.3409629,10.735198
117,0,5.7011539,0.1889805,5.7042852,0.0075,-1.825668,23.918061,23.987636,0.015,-4.8189272,6.5169153,8.1050752,0.02,-3.8407551,27.626903,27.8926,0.03,-3.2960591,-17.687097,17.991593,0.04,-10.464824,25.486631,27.551422,0.05,-9.3861777,3.0483948,9.8687913
118,0,5.6962531,0.11817428,5.6974788,0.0075,-1.6815871,23.718481,23.778016,0.015,-4.1144044,5.2745763,6.6895051,0.02,-3.548205,27.420239,27.648856,0.03,-2.6179034,-16.818779,17.021302,0.04,-10.25036,26.675956,28.577552,0.05,-12.791075,4.1206244,13.43842
119,0,5.6901668,0.057283414,5.6904551,0.0075,-1.5817798,24.089968,24.141843,0.015,-5.3666239,6.4305779,8.3757378,0.02,-3.34636,27.871743,28.071911,0.03,-2.2023269,-17.094858,17.236137,0.04,-9.0618817,25.281008,26.856044,0.05,-10.52381,3.3633716,11.048205
120,0,5.6832145,0.0046104971,5.6832164,0.0075,-1.3168735,21.72011,21.759993,0.015,-3.8801546,4.2662596,5.766851,0.02,-2.7922005,25.147781,25.302318,0.03,-1.8830289,-17.854647,17.953669,0.04,-8.7664619,26.305192,27.727495,0.05,-10.82825,3.4338137,11.359669
121,0,5.6756153,-0.041195958,5.6757648,0.0075,-1.1512995,20.629533,20.661634,0.015,-5.5129377,5.4232921,7.733342,0.02,-2.4456921,23.90035,24.025156,0.03,-1.5686567,-18.412058,18.47876,0.04,-8.0078494,25.934332,27.142499,0.05,-10.775878,3.3912267,11.2969
122,0,5.6675208,-0.081221331,5.6681027,0.0075,-1.2102123,23.635069,23.666032,0.015,-4.6718116,3.9643403,6.1271378,0.02,-2.5746475,27.397936,27.518642,0.03,-1.2874937,-19.012945,19.056487,0.04,-7.4521582,26.142283,27.183702,0.05,-12.943641,4.0430956,13.5604
123,0,5.6590367,-0.11634454,5.6602326,0.0075,-1.127959,24.091066,24.117457,0.015,-5.2343609,3.6177296,6.3629004,0.02,-2.5326782,29.457264,29.565941,0.03,-1.037189,-19.661831,19.689169,0.04,-7.1297992,27.193548,28.112686,0.05,-10.348503,3.2088897,10.834597
124,0,5.6502375,-0.14728294,5.6521568,0.0075,-1.0061154,23.584149,23.6056,0.015,-4.8347299,2.4565531,5.4230311,0.02,-2.1442437,27.364491,27.448373,0.03,-0.75674556,-18.888315,18.903468,0.04,-6.3419822,26.401977,27.152995,0.05,-9.1850654,2.8277706,9.6105002
125,0,5.6411756,-0.17462645,5.6438778,0.0075,-0.92565492,23.90294,23.920856,0.015,-5.1419,1.5188268,5.3615269,0.02,-1.9733213,27.744863,27.814949,0.03,-0.58208506,-19.767196,19.775765,0.04,-6.0268346,27.497778,28.150497,0.05,-10.946244,3.3463817,11.446333
126,0,5.6318884,-0.19886363,5.6353983,0.0075,-0.82749439,23.632218,23.646701,0.015,-5.0541013,0.24322016,5.0599502,0.02,-1.7638333,27.439533,27.496164,0.03,-0.38751454,-18.705661,18.709675,0.04,-5.6716978,28.482593,29.041802,0.05,-10.547534,3.2023758,11.022962
127,0,5.6224025,-0.22040181,5.6267208,0.0075,-0.72652852,23.042819,23.05427,0.015,-4.6005513,-1.101922,4.730677,0.02,-1.5477746,26.762571,26.80729,0.03,-0.26302519,-19.184406,19.186209,0.04,-5.0897854,28.260703,28.715384,0.05,-9.5781952,2.8885349,10.004272
128,0,5.6127371,-0.23958276,5.6178482,0.0075,-0.64647648,22.871657,22.880792,0.015,-3.3919416,-1.9490638,3.9120477,0.02,-1.3758973,26.569971,26.605572,0.03,-0.17276616,-20.852491,20.853207,0.04,-4.4897421,27.694345,28.055918,0.05,-8.9034656,2.6673877,9.2944423
129,0,5.6029059,-0.25669493,5.608783,0.0075,-0.57901665,22.95854,22.96584,0.015,-4.096516,-3.9562236,5.6950109,0.02,-1.2305937,26.676096,26.704465,0.03,-0.090372001,-20.952455,20.95265,0.04,-4.3358718,29.862534,30.175665,0.05,-11.894167,3.5404127,12.409905
130,0,5.5929189,-0.27198321,5.5995283,0.0075,-0.50083838,22.369274,22.37488,0.015,-3.5758465,-5.0899192,6.2204466,0.02,-1.0624768,25.995599,26.017302,0.03,-0.032268859,-19.196903,19.196931,0.04,-3.4975965,27.041938,27.267189,0.05,-9.2719207,2.7424654,9.6690036
131,0,5.5827834,-0.28565653,5.5900868,0.0075,-0.43838396,22.175394,22.179726,0.015,-3.5317796,-6.9239904,7.7727158,0.02,-0.92784933,25.773684,25.79038,0.03,-0.0057598368,-20.046231,20.046232,0.04,-3.0723297,26.81981,26.995211,0.05,-10.821411,3.1810096,11.279262
132,0,5.5725047,-0.29789416,5.5804615,0.0075,-0.37163906,21.416912,21.420136,0.015,-2.1892567,-5.6764372,6.0839776,0.02,-0.78440735,24.89478,24.907135,0.03,0,-19.359759,19.359759,0.04,-2.7928766,27.698213,27.838663,0.05,-10.323676,3.0163553,10.755309
133,0,5.562087,-0.30885055,5.5706553,0.0075,-0.3585249,23.68957,23.692283,0.015,-2.0416691,-6.8198831,7.1189338,0.02,-0.75426891,27.538839,27.549167,0.03,0,-19.647307,19.647307,0.04,-2.3631978,26.805668,26.909636,0.05,-8.1258715,2.3601624,8.4616875
134,0,5.5515334,-0.31865947,5.5606715,0.0075,-0.29994679,22.884126,22.886092,0.015,-1.4049314,-5.939699,6.1035937,0.02,-0.62866288,26.604308,26.611735,0.03,0,-20.349387,20.349387,0.04,-2.0437616,26.70906,26.78714,0.05,-9.2371281,2.6674048,9.6145506
135,0,5.5408464,-0.32743723,5.5505129,0.0075,-0.24060075,21.360132,21.361487,0.015,-1.4873233,-7.8626055,8.0020432,0.02,-0.50211903,24.833863,24.838939,0.03,0,-20.032643,20.032643,0.04,-1.7254563,26.188959,26.245738,0.05,-9.481734,2.7225477,9.8648642
136,0,5.5300281,-0.33528544,5.5401829,0.0075,-0.21931276,22.852167,22.853219,0.015,-1.37887,-9.040255,9.1448069,0.02,-0.45547678,26.569607,26.573511,0.03,0,-20.958338,20.958338,0.04,-1.6125019,28.678305,28.723602,0.05,-11.366887,3.2457897,11.821221
137,0,5.5190804,-0.34229315,5.5296847,0.0075,-0.19665142,24.28334,24.284136,0.015,-1.0929624,-8.8406788,8.9079834,0.02,-0.40619384,28.234446,28.237368,0.03,0,-18.979323,18.979323,0.04,-1.3106279,27.584809,27.615927,0.05,-9.3819866,2.6645247,9.7530182
138,0,5.5080049,-0.3485388,5.5190214,0.0075,-0.15869665,23.478389,23.478926,0.015,-0.89036499,-8.8596325,8.9042595,0.02,-0.3258074,27.299132,27.301076,0.03,0,-20.927624,20.927624,0.04,-1.1349038,28.584386,28.606907,0.05,-9.8380341,2.7792914,10.223081
139,0,5.4968034,-0.35409168,5.5081965,0.0075,-0.12988323,23.31112,23.311482,0.015,-0.83479269,-10.209162,10.243235,0.02,-0.2648529,27.105081,27.106375,0.03,0,-20.683484,20.683484,0.04,-0.96845806,29.562698,29.578557,0.05,-9.8270464,2.7618754,10.207781
140,0,5.4854775,-0.35901324,5.4972132,0.0075,-0.10139114,22.397054,22.397284,0.015,-0.6270638,-9.4326957,9.4535156,0.02,-0.20520406,26.042545,26.043353,0.03,0,-21.287754,21.287754,0.04,-0.74046474,27.798392,27.808252,0.05,-8.0386056,2.2478713,8.3469818
141,0,5.4740288,-0.36335819,5.4860751,0.0075,-0.083171522,22.998755,22.998906,0.015,-0.57287051,-10.62528,10.640712,0.02,-0.16693228,26.742393,26.742914,0.03,0,-19.868506,19.868506,0.04,-0.59469737,27.931989,27.938319,0.05,-10.463597,2.911626,10.861143
142,0,5.4624591,-0.36717541,5.4747856,0.0075,-0.071239547,25.163169,25.163269,0.015,-0.52717251,-12.103868,12.115342,0.02,-0.14166931,29.259273,29.259616,0.03,0,-20.731439,20.731439,0.04,-0.43047388,25.816232,25.819821,0.05,-9.4979849,2.630293,9.8554634
143,0,5.4507703,-0.3705087,5.4633482,0.0075,-0.050698694,23.443926,23.443981,0.015,-0.43194129,-12.345392,12.352946,0.02,-0.099794456,27.26026,27.260443,0.03,0,-19.360155,19.360155,0.04,-0.37514653,29.446217,29.448606,0.05,-10.343018,2.8509669,10.728748
144,0,5.4389642,-0.37339748,5.4517665,0.0075,-0.038804114,24.221622,24.221653,0.015,-0.35871557,-12.855749,12.860753,0.02,-0.075519093,28.164611,28.164713,0.03,0,-18.036581,18.036581,0.04,-0.25446926,26.959375,26.960576,0.05,-8.9647211,2.4598473,9.2960784
145,0,5.4270429,-0.37587733,5.440044,0.0075,-0.026721155,23.418591,23.418607,0.015,-0.29401701,-13.333913,13.337154,0.02,-0.051351806,27.230889,27.230938,0.03,0,-19.179505,19.179505,0.04,-0.20340069,30.256292,30.256976,0.05,-8.8885126,2.4281822,9.2142132
146,0,5.4150085,-0.3779805,5.4281845,0.0075,-0.017915477,23.235399,23.235406,0.015,-0.22728314,-13.19134,13.193298,0.02,-0.033949027,27.017893,27.017914,0.03,0,-20.842952,20.842952,0.04,-0.12393531,27.285487,27.285768,0.05,-8.2578736,2.2462377,8.5579238
147,0,5.4028633,-0.37973632,5.4161916,0.0075,-0.011776655,24.3422,24.342202,0.015,-0.17039474,-12.832315,12.833446,0.02,-0.021968717,28.304878,28.304887,0.03,0,-20.079223,20.079223,0.04,-0.089188201,31.301113,31.30124,0.05,-8.4189024,2.280515,8.7223085
148,0,5.3906094,-0.38117156,5.404069,0.0075,-0.0067179609,24.777056,24.777057,0.015,-0.13590079,-13.505573,13.506257,0.02,-0.012313368,28.810529,28.810531,0.03,0,-20.932408,20.932408,0.04,-0.047040331,29.466833,29.466871,0.05,-9.530928,2.5713284,9.8716928
149,0,5.3782495,-0.38231077,5.3918206,0.0075,-0.0030842322,24.655752,24.655752,0.015,-0.10640066,-14.244494,14.244891,0.02,-0.0055421265,28.669478,28.669479,0.03,0,-21.367916,21.367916,0.04,-0.020964217,28.475294,28.475301,0.05,-10.28691,2.7644414,10.651885
150,0,5.365786,-0.38317654,5.3794501,0.0075,-0.00086570666,22.855223,22.855224,0.015,-0.071305736,-13.192858,13.19305,0.02,-0.0015210684,26.575841,26.575841,0.03,0,-18.917738,18.917738,0.04,-0.0066628566,29.901087,29.901088,0.05,-7.9817456,2.1368591,8.2628343
151,0,5.3532215,-0.38378977,5.3669615,0.0075,-4.7910508e-05,25.11477,25.11477,0.015,-0.059120237,-15.609906,15.610018,0.02,-8.2052936e-05,29.203221,29.203221,0.03,0,-20.071552,20.071552,0.04,-0.00031137723,27.75948,27.75948,0.05,-8.9661681,2.3916428,9.2796619
152,0,5.3405588,-0.38416986,5.3543585,0.0075,0,25.740818,25.740818,0.015,-0.037382753,-14.677583,14.677631,0.02,0,29.931184,29.931184,0.03,0,-18.689352,18.689352,0.04,0,28.310186,28.310186,0.05,-7.7166345,2.0510915,7.9845742
153,0,5.3278006,-0.38433495,5.3416452,0.0075,0,24.877723,24.877723,0.015,-0.024136154,-14.87835,14.87837,0.02,0,28.927584,28.927584,0.03,0,-18.786379,18.786379,0.04,0,29.328387,29.328387,0.05,-7.9675561,2.110603,8.2423659
154,0,5.3149498,-0.38430207,5.3288254,0.0075,0,23.299742,23.299742,0.015,-0.012822163,-13.371591,13.371597,0.02,0,27.092723,27.092723,0.03,0,-20.350519,20.350519,0.04,0,29.864771,29.864771,0.05,-8.8969189,2.3491052,9.2018184
155,0,5.3020094,-0.38408733,5.3159032,0.0075,0,25.944903,25.944903,0.015,-0.0082515626,-16.236487,16.236489,0.02,0,30.168492,30.168492,0.03,0,-20.184689,20.184689,0.04,0,27.736292,27.736292,0.05,-6.5789333,1.7316387,6.8030094
156,0,5.2889823,-0.38370606,5.3028826,0.0075,0,25.384142,25.384142,0.015,-0.0035898133,-15.895156,15.895156,0.02,0,29.516444,29.516444,0.03,0,-20.628363,20.628363,0.04,0,26.817981,26.817981,0.05,-9.901223,2.5982905,10.236471
157,0,5.2758715,-0.38317294,5.2897677,0.0075,0,24.991163,24.991163,0.015,-0.0011157174,-15.711163,15.711163,0.02,0,29.059492,29.059492,0.03,0,-20.519412,20.519412,0.04,0,28.464201,28.464201,0.05,-7.3554681,1.9247079,7.6031186
158,0,5.2626802,-0.38250221,5.2765624,0.0075,0,22.730365,22.730365,0.015,-8.4774764e-05,-15.128255,15.128255,0.02,0,26.430657,26.430657,0.03,0,-19.066222,19.066222,0.04,0,27.411846,27.411846,0.05,-5.9759933,1.5594786,6.1761209
159,0,5.2494116,-0.38170774,5.2632711,0.0075,0,24.50104,24.50104,0.015,0.00010364017,-15.78012,15.78012,0.02,0,28.489581,28.489581,0.03,0,-21.89417,21.89417,0.04,0,26.202964,26.202964,0.05,-7.2232389,1.8800779,7.4639047
160,0,5.2360687,-0.38080321,5.2498977,0.0075,0,25.843863,25.843863,0.015,6.3404845e-06,-15.459631,15.459631,0.02,0,30.051004,30.051004,0.03,0,-19.867617,19.867617,0.04,0,26.612566,26.612566,0.05,-6.3661291,1.6529288,6.5772162
161,0,5.2226528,-0.37982929,5.2364465,0.0075,0,23.063071,23.063071,0.015,0,-14.758216,14.758216,0.02,0,26.817524,26.817524,0.03,0,-20.621992,20.621992,0.04,0,28.69272,28.69272,0.05,-7.0297099,1.8210081,7.2617417
162,0,5.2091636,-0.37884826,5.2229217,0.0075,0,23.75795,23.75795,0.015,0,-14.481769,14.481769,0.02,0,27.625523,27.625523,0.03,0,-20.518669,20.518669,0.04,0,27.312309,27.312309,0.05,-5.1709657,1.3366061,5.3409177
163,0,5.1956051,-0.37786219,5.2093274,0.0075,0,21.819112,21.819112,0.015,0,-16.742033,16.742033,0.02,0,25.371061,25.371061,0.03,0,-22.41791,22.41791,0.04,0,26.647436,26.647436,0.05,-8.6450145,2.2300623,8.9280151
164,0,5.1819816,-0.37687139,5.1956679,0.0075,0,22.881417,22.881417,0.015,0,-15.780544,15.780544,0.02,0,26.606299,26.606299,0.03,0,-20.701347,20.701347,0.04,0,27.14172,27.14172,0.05,-4.4764416,1.1525678,4.6224389
165,0,5.1682973,-0.37587617,5.1819475,0.0075,0,23.139205,23.139205,0.015,0,-16.901748,16.901748,0.02,0,26.906053,26.906053,0.03,0,-21.427922,21.427922,0.04,0,29.907843,29.907843,0.05,-9.0878026,2.3358138,9.3831861
166,0,5.1545564,-0.37487683,5.1681704,0.0075,0,21.806742,21.806742,0.015,0,-15.560846,15.560846,0.02,0,25.356677,25.356677,0.03,0,-18.689461,18.689461,0.04,0,28.110327,28.110327,0.05,-5.9997528,1.5396519,6.1941554
167,0,5.1407634,-0.3738737,5.1543409,0.0075,0,25.419151,25.419151,0.015,0,-16.977449,16.977449,0.02,0,29.557152,29.557152,0.03,0,-20.12123,20.12123,0.04,0,29.450679,29.450679,0.05,-6.1147907,1.5669148,6.3123598
168,0,5.1269224,-0.37286708,5.1404633,0.0075,0,23.792092,23.792092,0.015,0,-14.845604,14.845604,0.02,0,27.665223,27.665223,0.03,0,-19.018789,19.018789,0.04,0,28.140967,28.140967,0.05,-8.7861525,2.2485494,9.0693137
169,0,5.1130377,-0.37185729,5.1265419,0.0075,0,22.893665,22.893665,0.015,0,-15.077,15.077,0.02,0,26.620541,26.620541,0.03,0,-19.092226,19.092226,0.04,0,29.745702,29.745702,0.05,-9.5001297,2.4285047,9.8056157
170,0,5.0991137,-0.37084463,5.1125812,0.0075,0,23.734978,23.734978,0.015,0,-16.153687,16.153687,0.02,0,27.598812,27.598812,0.03,0,-20.852408,20.852408,0.04,0,28.349192,28.349192,0.05,-6.9420812,1.772846,7.1648778
171,0,5.0851548,-0.36982944,5.0985854,0.0075,0,22.303675,22.303675,0.015,0,-15.408265,15.408265,0.02,0,25.934505,25.934505,0.03,0,-19.778225,19.778225,0.04,0,26.293201,26.293201,0.05,0.84726227,-6.5399379,6.5945918
172,0,5.0711652,-0.36881201,5.0845589,0.0075,0,22.614434,22.614434,0.015,0,-15.984577,15.984577,0.02,0,26.295853,26.295853,0.03,0,-19.457327,19.457327,0.04,0,26.868026,26.868026,0.05,2.1596852,-7.4166957,7.7247404
173,0,5.0571494,-0.36779268,5.070506,0.0075,0,25.591887,25.591887,0.015,0,-15.44519,15.44519,0.02,0,29.758008,29.758008,0.03,0,-18.851811,18.851811,0.04,0,29.79923,29.79923,0.05,2.391038,-5.6233957,6.1106172
174,0,5.0431116,-0.36677175,5.0564312,0.0075,0,23.015096,23.015096,0.015,0,-16.740432,16.740432,0.02,0,26.76174,26.76174,0.03,0,-20.306023,20.306023,0.04,0,27.742601,27.742601,0.05,3.3497661,-6.2499801,7.0910637
175,0,5.0290563,-0.36574955,5.0423388,0.0075,0,24.309822,24.309822,0.015,0,-15.99447,15.99447,0.02,0,28.267235,28.267235,0.03,0,-21.196142,21.196142,0.04,0,28.0957,28.0957,0.05,5.23346,-8.3495855,9.8541708
176,0,5.0149879,-0.36472639,5.0282332,0.0075,0,22.786767,22.786767,0.015,0,-14.392234,14.392234,0.02,0,26.49624,26.49624,0.03,0,-21.307846,21.307846,0.04,0,26.868637,26.868637,0.05,4.4345343,-6.3337148,7.7318198
177,0,5.0009107,-0.36370259,5.0141188,0.0075,0,23.549311,23.549311,0.015,0,-15.445976,15.445976,0.02,0,27.38292,27.38292,0.03,0,-19.738916,19.738916,0.04,0,28.90433,28.90433,0.05,4.789037,-6.3191043,7.9288054
178,0,4.9868291,-0.36267848,5,0.0075,0,23.976784,23.976784,0.015,0,-15.869731,15.869731,0.02,0,27.879982,27.879982,0.03,0,-21.048436,21.048436,0.04,0,31.186352,31.186352,0.05,6.5832354,-8.0957597,10.434573
