step,s1_m,Fx1_uN,Fy1_uN,F1_uN,s2_m,Fx2_uN,Fy2_uN,F2_uN,s3_m,Fx3_uN,Fy3_uN,F3_uN
44,0.015,-2.1828879,9.2257632,9.4804908,0.025,-1.9896826,7.7802865,8.0306721,0.035,-2.7127243,11.317608,11.638175
45,0.015,-2.6054124,10.708845,11.021231,0.025,-2.4292976,9.3614846,9.6715501,0.035,-2.2234773,9.5233105,9.7794322
46,0.015,-2.1941164,8.7905829,9.0602701,0.025,-2.1499586,8.175947,8.4539004,0.035,-2.5217005,11.10953,11.392131
47,0.015,-2.117667,8.2886495,8.5548947,0.025,-2.4263473,9.1176252,9.4349484,0.035,-1.9548056,8.8713319,9.0841508
48,0.0175,-2.2088442,8.2552942,8.5456934,0.035,-1.7683244,8.2746547,8.461494,0.0475,-5.786849,8.3504197,10.159583
49,0.0175,-2.3655191,8.7132079,9.028603,0.035,-2.2534716,10.8777,11.108668,0.0475,-4.8813549,7.1360025,8.6458173
50,0.0175,-2.1982575,7.995047,8.2917496,0.035,-1.8722546,9.322059,9.5082134,0.0475,-4.4393584,6.5760423,7.9342445
51,0.0175,-2.4214554,8.7113553,9.0416347,0.035,-1.7968677,9.2227707,9.3961818,0.0475,-4.558318,6.8417102,8.2211473
52,0.0175,-1.9666078,7.0102757,7.2809004,0.035,-1.6396985,8.6660915,8.8198499,0.0475,-5.7907011,8.804496,10.538091
53,0.015,-2.1673081,7.703892,8.002948,0.025,-2.0057811,7.201546,7.4756553,0.035,-1.8334483,9.9621055,10.129416
54,0.015,-2.8451186,10.017267,10.413469,0.0375,-1.4156225,7.76259,7.8906141,0.0475,-4.4502867,6.9338452,8.2391299
55,0.015,-2.1684035,7.5743425,7.8786191,0.0375,-1.2979803,7.3444637,7.4582773,0.0475,-5.0019245,7.8812798,9.3345498
56,0.015,-2.3582757,8.1847125,8.5176865,0.0375,-1.622663,9.4483351,9.5866611,0.0475,-3.9941023,6.3591569,7.5094427
57,0.015,-2.5026651,8.6419748,8.9970585,0.0375,-1.4489951,8.6558398,8.7762833,0.0475,-4.3296289,6.9593139,8.1962025
58,0.015,-1.9607076,6.7448049,7.0240136,0.0375,-1.2729106,7.7759572,7.879455,0.0475,-5.208474,8.4441457,9.9212801
59,0.015,-2.1394506,7.3400055,7.6454516,0.0375,-1.521833,9.4753273,9.5967601,0.0475,-4.2936587,7.0143435,8.2241425
60,0.015,-2.1362867,7.3169182,7.622402,0.0375,-1.3332752,8.4328843,8.537632,0.0475,-4.65594,7.6571473,8.961567
61,0.015,-2.1554991,7.3768966,7.6853615,0.0375,-1.3665852,8.7522229,8.8582708,0.0475,-4.2254923,6.9892869,8.1673078
62,0.015,-2.6234399,8.9780715,9.353513,0.0375,-1.4891142,9.6272758,9.7417607,0.0475,-4.3969569,7.3083106,8.5290464
63,0.0125,-1.9892778,6.8538212,7.1366723,0.0375,-1.0850537,7.0613729,7.1442515,0.0475,-4.6941698,7.8337508,9.1325178
